Genomic_bins,SGT1,SGT3,YG2,AL4,SGT2,SG4,CH2,AL1,YG3,CH1,YG1,CH3,SG1,SG3,SG5,SG2,AL3
MAG.c.1,0.161145,0.763715,7.047634,0.872807,0,0.174462,0,0,0.253714,0,0.481952,0,0.389863,0,0,0,0.408972
MAG.c.2,7.931125,1.551568,0.205194,0,7.740957,0.71536,0,0,0.021224,13.721855,0,1.757598,1.69847,0,0.424595,0.701183,0.156664
MAG.c.3,21.9305395,4.281176,30.669261,25.996513,4.051722,8.445519,6.866244,5.5788585,25.715882,3.4673895,28.96067,5.75299,2.942617,5.816797,22.855099,20.324962,15.8952805
MAG.c.4,4.405126,10.298222,6.075931,5.653857,4.37958,6.516028,56.57996,2.275305,5.587185,5.804083,10.026093,5.257306,10.792543,4.27054,7.256776,4.170993,13.941568
MAG.c.5,0.899242,0.092738,1.356,0.188319,0.251693,5.262511,0.998224,6.643656,22.143301,2.271533,5.53656,51.88395,1.731012,0.2858,0.375392,9.356156,18.261978
MAG.c.6,5.983758,7.26063,4.581036,15.300217,5.629886,8.579967,9.379395,2.513105,5.220077,5.72179,5.848719,12.037968,8.710433,5.1508,15.759471,6.622966,7.316804
MAG.c.7,0.308175,0.270504,3.484564,0.151209,0.202178,3.238426,1.255182,2.909461,2.707066,6.918504,3.304728,6.097499,1.296159,0.555968,1.17848,7.130056,11.089591
MAG.c.8,15.794267,5.444373,11.066175,17.27583,6.471877,17.21196,11.200216,8.170671,15.887632,18.283983,34.863979,8.827709,8.092206,6.21999,14.270002,13.089124,33.733857
MAG.c.9,5.130439,5.409153,7.488517,6.250137,8.23435,5.655618,6.058602,8.072733,6.053159,5.793268,7.136888,7.757392,6.83428,6.18626,10.290844,6.82474,6.424798
MAG.c.10,0,0,1.090979,1.141055,0.380403,3.364906,0.216381,19.176728,1.387509,0,5.321743,0.869643,0,0.101327,0.057667,3.78057,7.537726
MAG.c.11,19.589285,11.321203,27.498394,30.154827,22.585372,23.052849,8.829322,3.820932,11.383418,13.365048,6.855151,10.683347,16.070132,7.385024,10.801945,11.934364,9.776258
MAG.c.12,13.409393,17.866743,8.0236,3.735187,31.202811,11.30344,4.748199,2.03504,2.973679,13.617762,2.545546,15.513792,18.171055,5.60765,11.108973,2.967482,3.63196
MAG.c.13,9.797614,2.434292,4.761708,16.918951,15.943699,16.286975,18.815321,2.277563,11.393661,7.964496,1.749494,3.202182,6.46251,7.252273,7.844946,5.595399,6.21739
MAG.c.14,12.5713,13.55889,6.913292,5.244771,12.212575,8.147461,5.941797,3.754591,4.085663,21.219088,3.375173,6.347516,13.071317,4.195402,4.564458,2.7871365,5.224623
