Genomic_bins,Domain
MAG.c.1,Archaea
MAG.c.2,Bacteria
MAG.c.3,Archaea
MAG.c.4,Archaea
MAG.c.5,Bacteria
MAG.c.6,Archaea
MAG.c.7,Bacteria
MAG.c.8,Archaea
MAG.c.9,Archaea
MAG.c.10,Bacteria
MAG.c.11,Archaea
MAG.c.12,Archaea
MAG.c.13,Bacteria
MAG.c.14,Archaea
MAG.c.15,Archaea
MAG.c.16,Archaea
MAG.c.17,Archaea
MAG.c.18,Archaea
MAG.c.19,Bacteria
MAG.c.20,Archaea
MAG.c.21,Bacteria
MAG.c.22,Bacteria
MAG.c.23,Archaea
MAG.c.24,Bacteria
MAG.c.25,Bacteria
MAG.c.26,Archaea
MAG.c.27,Archaea
MAG.c.28,Archaea
MAG.c.29,Archaea
MAG.c.30,Bacteria
MAG.c.31,Archaea
MAG.c.32,Archaea
MAG.c.33,Archaea
MAG.c.34,Archaea
MAG.c.35,Archaea
MAG.c.36,Archaea
MAG.c.37,Archaea
MAG.c.38,Archaea
MAG.c.39,Archaea
MAG.c.40,Archaea
MAG.c.41,Archaea
MAG.c.42,Bacteria
MAG.c.43,Bacteria
MAG.c.44,Archaea
MAG.c.45,Archaea
MAG.c.46,Archaea
MAG.c.47,Archaea
MAG.c.48,Archaea
MAG.c.49,
MAG.c.50,Bacteria
MAG.c.51,Archaea
MAG.c.52,Archaea
MAG.c.53,Archaea
MAG.c.54,Archaea
MAG.c.55,Archaea
MAG.c.56,Archaea
MAG.c.57,Bacteria
MAG.c.58,Bacteria
MAG.c.59,Bacteria
MAG.c.60,Archaea
MAG.i.1,Archaea
MAG.i.2,Bacteria
MAG.i.3,Archaea
MAG.i.4,Archaea
MAG.i.5,Bacteria
MAG.i.6,Bacteria
MAG.i.7,Archaea
MAG.i.8,Archaea
MAG.i.9,Archaea
MAG.i.10,Archaea
MAG.i.11,Bacteria
MAG.i.12,Archaea
MAG.i.13,Bacteria
MAG.i.14,Bacteria
MAG.i.15,Archaea
MAG.i.16,Archaea
MAG.i.17,Archaea
MAG.i.18,Bacteria
MAG.i.19,Archaea
MAG.i.20,Archaea
MAG.i.21,Archaea
MAG.i.22,Bacteria
MAG.i.23,Archaea
MAG.i.24,Archaea
MAG.i.25,Archaea
MAG.i.26,Archaea
MAG.i.27,Bacteria
MAG.i.28,Bacteria
MAG.i.29,Archaea
MAG.i.30,Archaea
MAG.i.31,Archaea
MAG.i.32,Bacteria
MAG.i.33,Archaea
MAG.i.34,Archaea
MAG.i.35,Bacteria
MAG.i.36,Archaea
MAG.i.37,Bacteria
MAG.i.38,Bacteria
MAG.i.39,Bacteria
MAG.i.40,Bacteria
MAG.i.41,Bacteria
MAG.i.42,Archaea
MAG.i.43,Archaea
MAG.i.44,Archaea
