Genomic_bins,Phylum
MAG.c.1,Euryarchaeota
MAG.c.2,Unidentified_Bacteria
MAG.c.3,Euryarchaeota
MAG.c.4,Euryarchaeota
MAG.c.5,Actinobacteria
MAG.c.6,Euryarchaeota
MAG.c.7,Unidentified_Bacteria
MAG.c.8,Euryarchaeota
MAG.c.9,Euryarchaeota
MAG.c.10,Unidentified_Bacteria
MAG.c.11,Euryarchaeota
MAG.c.12,Euryarchaeota
MAG.c.13,Unidentified_Bacteria
MAG.c.14,Euryarchaeota
MAG.c.15,Euryarchaeota
MAG.c.16,Euryarchaeota
MAG.c.17,Euryarchaeota
MAG.c.18,Euryarchaeota
MAG.c.19,Proteobacteria
MAG.c.20,Euryarchaeota
MAG.c.21,Unidentified_Bacteria
MAG.c.22,Unidentified_Bacteria
MAG.c.23,Euryarchaeota
MAG.c.24,Proteobacteria
MAG.c.25,Bacteroidetes
MAG.c.26,Euryarchaeota
MAG.c.27,Euryarchaeota
MAG.c.28,Euryarchaeota
MAG.c.29,Euryarchaeota
MAG.c.30,Unidentified_Bacteria
MAG.c.31,Euryarchaeota
MAG.c.32,Euryarchaeota
MAG.c.33,Euryarchaeota
MAG.c.34,Euryarchaeota
MAG.c.35,Euryarchaeota
MAG.c.36,Euryarchaeota
MAG.c.37,Euryarchaeota
MAG.c.38,Euryarchaeota
MAG.c.39,Euryarchaeota
MAG.c.40,Euryarchaeota
MAG.c.41,Euryarchaeota
MAG.c.42,Bacteroidetes
MAG.c.43,Unidentified_Bacteria
MAG.c.44,Euryarchaeota
MAG.c.45,Euryarchaeota
MAG.c.46,Euryarchaeota
MAG.c.47,Euryarchaeota
MAG.c.48,Euryarchaeota
MAG.c.49,Unclassified
MAG.c.50,Unidentified_Bacteria
MAG.c.51,Euryarchaeota
MAG.c.52,Euryarchaeota
MAG.c.53,Euryarchaeota
MAG.c.54,Euryarchaeota
MAG.c.55,Euryarchaeota
MAG.c.56,Euryarchaeota
MAG.c.57,Unidentified_Bacteria
MAG.c.58,Unidentified_Bacteria
MAG.c.59,Unidentified_Bacteria
MAG.c.60,Euryarchaeota
MAG.i.1,Euryarchaeota
MAG.i.2,Bacteroidetes
MAG.i.3,Euryarchaeota
MAG.i.4,Euryarchaeota
MAG.i.5,Proteobacteria
MAG.i.6,Bacteroidetes
MAG.i.7,Euryarchaeota
MAG.i.8,Euryarchaeota
MAG.i.9,Euryarchaeota
MAG.i.10,Euryarchaeota
MAG.i.11,Unidentified_Bacteria
MAG.i.12,Euryarchaeota
MAG.i.13,Proteobacteria
MAG.i.14,Proteobacteria
MAG.i.15,Euryarchaeota
MAG.i.16,Euryarchaeota
MAG.i.17,Euryarchaeota
MAG.i.18,Unidentified_Bacteria
MAG.i.19,Euryarchaeota
MAG.i.20,Euryarchaeota
MAG.i.21,Euryarchaeota
MAG.i.22,Actinobacteria
MAG.i.23,Euryarchaeota
MAG.i.24,Euryarchaeota
MAG.i.25,Euryarchaeota
MAG.i.26,Euryarchaeota
MAG.i.27,Cyanobacteria
MAG.i.28,Proteobacteria
MAG.i.29,Euryarchaeota
MAG.i.30,Euryarchaeota
MAG.i.31,Euryarchaeota
MAG.i.32,Unidentified_Bacteria
MAG.i.33,Euryarchaeota
MAG.i.34,Euryarchaeota
MAG.i.35,Unidentified_Bacteria
MAG.i.36,Euryarchaeota
MAG.i.37,Bacteroidetes
MAG.i.38,Unidentified_Bacteria
MAG.i.39,Bacteroidetes
MAG.i.40,Actinobacteria
MAG.i.41,Unidentified_Bacteria
MAG.i.42,Euryarchaeota
MAG.i.43,Euryarchaeota
MAG.i.44,Euryarchaeota
