Contig	Domain	Phylum	Class	Order	Family	Genus	Species
k141_1753463_length_9138_cov_22.2519	Bacteria	Acidobacteria	Vicinamibacteria	Vicinamibacteraceae			
k141_1880416_length_11671_cov_31.0009	Bacteria	Acidobacteria	Vicinamibacteria	Vicinamibacteraceae			
k141_2283236_length_4536_cov_73.1292	Bacteria	Acidobacteria	Acidobacteria bacterium Mor1				
k141_546461_length_2062_cov_9.0000	Bacteria	Acidobacteria	Acidobacteria bacterium Mor1				
k141_651158_length_2601_cov_113.4398	Bacteria	Acidobacteria	Vicinamibacteria	Vicinamibacteraceae			
k141_893232_length_8017_cov_36.0042	Bacteria	Acidobacteria	Vicinamibacteria	Vicinamibacteraceae			
k141_898036_length_4118_cov_25.5245	Bacteria	Acidobacteria	Acidobacteria bacterium Mor1				
k141_1000668_length_1639_cov_83.8738	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Nocardiaceae		
k141_1013446_length_11810_cov_28.1650	Bacteria	Actinobacteria					
k141_102116_length_4959_cov_22.0000	Bacteria	Actinobacteria	Actinomycetia	Micrococcales			
k141_102319_length_1620_cov_33.0000	Bacteria	Actinobacteria					
k141_102388_length_1917_cov_9.0000	Bacteria	Actinobacteria	Actinomycetia				
k141_1027209_length_2916_cov_82.6865	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Ornithinimicrobiaceae		
k141_1028736_length_20246_cov_49.2964	Bacteria	Actinobacteria					
k141_102924_length_11724_cov_36.8430	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Mycobacteriaceae		
k141_1035066_length_2596_cov_75.0000	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Mycobacteriaceae		
k141_1039333_length_1661_cov_29.0000	Bacteria	Actinobacteria	Actinomycetia	Streptosporangiales	Streptosporangiaceae		
k141_1047034_length_2700_cov_47.5959	Bacteria	Actinobacteria	Actinomycetia	Streptosporangiales	Nocardiopsaceae		
k141_1047264_length_2536_cov_30.0000	Bacteria	Actinobacteria	Actinomycetia	Micromonosporales	Micromonosporaceae		
k141_1053200_length_3851_cov_20.8170	Bacteria	Actinobacteria					
k141_1054756_length_7197_cov_36.8678	Bacteria	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae		
k141_1055800_length_1564_cov_28.6585	Bacteria	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae		
k141_1067246_length_4710_cov_52.8288	Bacteria	Actinobacteria	Actinomycetia				
k141_1070562_length_5060_cov_18.5656	Bacteria	Actinobacteria	Actinomycetia				
