KO_ID	Function Name	AL1	AL3	AL4	CH1	CH2	CH3	SG1	SG2	SG3	SG4	SG5	SGT1	SGT2	SGT3	YG1	YG2	YG3
K00001	alcohol dehydrogenase [EC:1.1.1.1]	63	80	116	88	69	27	60	66	39	78	82	51	78	77	90	65	50
K00002	alcohol dehydrogenase (NADP+) [EC:1.1.1.2]	14	10	15	15	12	9	12	14	9	10	13	9	15	14	12	12	11
K00003	homoserine dehydrogenase [EC:1.1.1.3]	22	28	34	33	23	10	25	22	8	30	32	14	30	25	37	19	22
K00004	(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]	9	10	15	10	10	2	7	8	4	10	9	6	5	9	15	6	6
K00005	glycerol dehydrogenase [EC:1.1.1.6]	6	5	6	5	10	2	3	5	3	5	7	4	7	6	9	5	3
K00006	glycerol-3-phosphate dehydrogenase (NAD+) [EC:1.1.1.8]	1	1	1	2	1	1	1	1	2	1	2	4	2	2	1	2	1
K00008	L-iditol 2-dehydrogenase [EC:1.1.1.14]	39	42	46	36	31	19	33	35	20	44	47	24	41	35	44	33	24
K00010	myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]	3	5	2	7	4	1	4	4	2	7	6	2	3	4	7	7	5
K00011	aldehyde reductase [EC:1.1.1.21]	0	1	0	2	2	0	0	1	0	1	1	1	0	1	0	1	0
K00012	UDPglucose 6-dehydrogenase [EC:1.1.1.22]	39	47	55	52	49	21	41	45	22	46	54	35	56	59	55	42	30
K00013	histidinol dehydrogenase [EC:1.1.1.23]	33	43	50	61	40	18	33	40	23	48	43	37	48	52	50	37	39
K00014	shikimate dehydrogenase [EC:1.1.1.25]	27	35	43	42	38	13	29	44	19	51	46	29	39	42	48	31	28
K00015	glyoxylate reductase [EC:1.1.1.26]	1	5	5	12	3	2	6	9	3	7	7	2	10	11	6	3	6
K00016	L-lactate dehydrogenase [EC:1.1.1.27]	4	6	8	8	4	3	7	9	5	8	8	6	4	9	8	6	4
