KO_ID,Level_a,Level_b,Pathway,Function
K00844,Brite hierarchies,Genetic information processing,Membrane trafficking ,hexokinase [EC:2.7.1.1]
K01810,Brite hierarchies,Signaling and cellular processes,Exosome ,glucose-6-phosphate isomerase [EC:5.3.1.9]
K00850,Brite hierarchies,Genetic information processing,Messenger RNA biogenesis ,6-phosphofructokinase 1 [EC:2.7.1.11]
K03841,Brite hierarchies,Signaling and cellular processes,Exosome ,"fructose-1,6-bisphosphatase I [EC:3.1.3.11]"
K01623,Brite hierarchies,Signaling and cellular processes,Exosome ,"fructose-bisphosphate aldolase, class I [EC:4.1.2.13]"
K01803,Brite hierarchies,Signaling and cellular processes,Exosome ,triosephosphate isomerase (TIM) [EC:5.3.1.1]
K00134,Brite hierarchies,Signaling and cellular processes,Exosome ,glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]
K00927,Brite hierarchies,Signaling and cellular processes,Exosome ,phosphoglycerate kinase [EC:2.7.2.3]
K01834,Brite hierarchies,Signaling and cellular processes,Exosome ,"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]"
K01689,Brite hierarchies,Signaling and cellular processes,Exosome ,enolase [EC:4.2.1.11]
K00873,Brite hierarchies,Signaling and cellular processes,Exosome ,pyruvate kinase [EC:2.7.1.40]
K12406,Brite hierarchies,Signaling and cellular processes,Exosome ,pyruvate kinase isozymes R/L [EC:2.7.1.40]
K00382,Brite hierarchies,Signaling and cellular processes,Exosome ,dihydrolipoamide dehydrogenase [EC:1.8.1.4]
K00016,Brite hierarchies,Signaling and cellular processes,Exosome ,L-lactate dehydrogenase [EC:1.1.1.27]
K00002,Brite hierarchies,Signaling and cellular processes,Exosome ,alcohol dehydrogenase (NADP+) [EC:1.1.1.2]
K01895,Brite hierarchies,Metabolism,Lipid biosynthesis proteins ,acetyl-CoA synthetase [EC:6.2.1.1]
K01913,Brite hierarchies,Metabolism,Lipid biosynthesis proteins ,acetate/butyrate---CoA ligase [EC:6.2.1.1 6.2.1.2]
K01905,Brite hierarchies,Metabolism,Lipid biosynthesis proteins ,acetate---CoA ligase (ADP-forming) subunit alpha [EC:6.2.1.13]
K22224,Brite hierarchies,Metabolism,Lipid biosynthesis proteins ,acetate---CoA ligase (ADP-forming) subunit beta [EC:6.2.1.13]
K24012,Brite hierarchies,Metabolism,Lipid biosynthesis proteins ,acetate---CoA ligase (ADP-forming) [EC:6.2.1.13]
K02777,Brite hierarchies,Signaling and cellular processes,Transporters ,sugar PTS system EIIA component [EC:2.7.1.-]
K02779,Brite hierarchies,Signaling and cellular processes,Transporters ,glucose PTS system EIICB or EIICBA component [EC:2.7.1.199]
K02791,Brite hierarchies,Signaling and cellular processes,Transporters ,maltose/glucose PTS system EIICB component [EC:2.7.1.199 2.7.1.208]
K20118,Brite hierarchies,Signaling and cellular processes,Transporters ,glucose PTS system EIICBA or EIICB component [EC:2.7.1.199]
K02753,Brite hierarchies,Signaling and cellular processes,Transporters ,beta-glucoside (arbutin/salicin/cellobiose) PTS system EIICB component [EC:2.7.1.-]
K01648,Brite hierarchies,Signaling and cellular processes,Exosome ,ATP citrate (pro-S)-lyase [EC:2.3.3.8]
K01900,Brite hierarchies,Signaling and cellular processes,Exosome ,succinyl-CoA synthetase beta subunit [EC:6.2.1.4 6.2.1.5]
K00036,Brite hierarchies,Signaling and cellular processes,Exosome ,glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]
K01053,Brite hierarchies,Signaling and cellular processes,Exosome ,gluconolactonase [EC:3.1.1.17]
K17464,Brite hierarchies,Signaling and cellular processes,Transporters ,D-glucosaminate PTS system EIIA component [EC:2.7.1.203]
K17465,Brite hierarchies,Signaling and cellular processes,Transporters ,D-glucosaminate PTS system EIIB component [EC:2.7.1.203]
K17466,Brite hierarchies,Signaling and cellular processes,Transporters ,D-glucosaminate PTS system EIIC component
K17467,Brite hierarchies,Signaling and cellular processes,Transporters ,D-glucosaminate PTS system EIID component
K14756,Brite hierarchies,Signaling and cellular processes,Exosome ,klotho [EC:3.2.1.31]
K00699,Brite hierarchies,Metabolism,Glycosyltransferases ,glucuronosyltransferase [EC:2.4.1.17]
K05947,Brite hierarchies,Metabolism,Glycosyltransferases ,mannosyl-3-phosphoglycerate synthase [EC:2.4.1.217]
K00846,Brite hierarchies,Signaling and cellular processes,Exosome ,ketohexokinase [EC:2.7.1.3]
K19290,Brite hierarchies,Metabolism,Glycosyltransferases ,mannuronan synthase [EC:2.4.1.33]
K02768,Brite hierarchies,Signaling and cellular processes,Transporters ,fructose PTS system EIIA component [EC:2.7.1.202]
K02769,Brite hierarchies,Signaling and cellular processes,Transporters ,fructose PTS system EIIB component [EC:2.7.1.202]
K02770,Brite hierarchies,Signaling and cellular processes,Transporters ,fructose PTS system EIIBC or EIIC component [EC:2.7.1.202]
K11194,Brite hierarchies,Signaling and cellular processes,Transporters ,fructose PTS system EIIA component [EC:2.7.1.202]
K11195,Brite hierarchies,Signaling and cellular processes,Transporters ,fructose PTS system EIIB component [EC:2.7.1.202]
K11196,Brite hierarchies,Signaling and cellular processes,Transporters ,fructose PTS system EIIC component
K02771,Brite hierarchies,Signaling and cellular processes,Transporters ,fructose PTS system EIID component
K02793,Brite hierarchies,Signaling and cellular processes,Transporters ,mannose PTS system EIIA component [EC:2.7.1.191]
K02794,Brite hierarchies,Signaling and cellular processes,Transporters ,mannose PTS system EIIAB component [EC:2.7.1.191]
K02795,Brite hierarchies,Signaling and cellular processes,Transporters ,mannose PTS system EIIC component
K02796,Brite hierarchies,Signaling and cellular processes,Transporters ,mannose PTS system EIID component
K02798,Brite hierarchies,Signaling and cellular processes,Transporters ,mannitol PTS system EIIA component [EC:2.7.1.197]
K02800,Brite hierarchies,Signaling and cellular processes,Transporters ,mannitol PTS system EIICBA or EIICB component [EC:2.7.1.197]
K02781,Brite hierarchies,Signaling and cellular processes,Transporters ,glucitol/sorbitol PTS system EIIA component [EC:2.7.1.198]
K02782,Brite hierarchies,Signaling and cellular processes,Transporters ,glucitol/sorbitol PTS system EIIB component [EC:2.7.1.198]
K02783,Brite hierarchies,Signaling and cellular processes,Transporters ,glucitol/sorbitol PTS system EIIC component
K02812,Brite hierarchies,Signaling and cellular processes,Transporters ,sorbose PTS system EIIA component [EC:2.7.1.206]
K02813,Brite hierarchies,Signaling and cellular processes,Transporters ,sorbose PTS system EIIB component [EC:2.7.1.206]
K02814,Brite hierarchies,Signaling and cellular processes,Transporters ,sorbose PTS system EIIC component
K02815,Brite hierarchies,Signaling and cellular processes,Transporters ,sorbose PTS system EIID component
K00849,Brite hierarchies,Signaling and cellular processes,Exosome ,galactokinase [EC:2.7.1.6]
K12309,Brite hierarchies,Signaling and cellular processes,Exosome ,beta-galactosidase [EC:3.2.1.23]
K01229,Brite hierarchies,Genetic information processing,Chaperones and folding catalysts ,lactase-phlorizin hydrolase [EC:3.2.1.108 3.2.1.62]
K07966,Brite hierarchies,Signaling and cellular processes,Exosome ,"beta-1,4-galactosyltransferase 1 [EC:2.4.1.22 2.4.1.90 2.4.1.38 2.4.1.-]"
K07967,Brite hierarchies,Metabolism,Glycosyltransferases ,"beta-1,4-galactosyltransferase 2 [EC:2.4.1.22 2.4.1.90 2.4.1.38 2.4.1.-]"
K02773,Brite hierarchies,Signaling and cellular processes,Transporters ,galactitol PTS system EIIA component [EC:2.7.1.200]
K02774,Brite hierarchies,Signaling and cellular processes,Transporters ,galactitol PTS system EIIB component [EC:2.7.1.200]
K02775,Brite hierarchies,Signaling and cellular processes,Transporters ,galactitol PTS system EIIC component
K02786,Brite hierarchies,Signaling and cellular processes,Transporters ,lactose PTS system EIIA component [EC:2.7.1.207]
K02788,Brite hierarchies,Signaling and cellular processes,Transporters ,lactose PTS system EIICB component [EC:2.7.1.207]
K12316,Brite hierarchies,Signaling and cellular processes,Exosome ,lysosomal alpha-glucosidase [EC:3.2.1.20]
K01203,Brite hierarchies,Signaling and cellular processes,Exosome ,sucrase-isomaltase [EC:3.2.1.48 3.2.1.10]
K02744,Brite hierarchies,Signaling and cellular processes,Transporters ,N-acetylgalactosamine PTS system EIIA component [EC:2.7.1.-]
K02745,Brite hierarchies,Signaling and cellular processes,Transporters ,N-acetylgalactosamine PTS system EIIB component [EC:2.7.1.-]
K02746,Brite hierarchies,Signaling and cellular processes,Transporters ,N-acetylgalactosamine PTS system EIIC component
K02747,Brite hierarchies,Signaling and cellular processes,Transporters ,N-acetylgalactosamine PTS system EIID component
K10984,Brite hierarchies,Signaling and cellular processes,Transporters ,galactosamine PTS system EIIB component [EC:2.7.1.-]
K10985,Brite hierarchies,Signaling and cellular processes,Transporters ,galactosamine PTS system EIIC component
K10986,Brite hierarchies,Signaling and cellular processes,Transporters ,galactosamine PTS system EIID component
K02821,Brite hierarchies,Signaling and cellular processes,Transporters ,ascorbate PTS system EIIA or EIIAB component [EC:2.7.1.194]
K02822,Brite hierarchies,Signaling and cellular processes,Transporters ,ascorbate PTS system EIIB component [EC:2.7.1.194]
K03475,Brite hierarchies,Signaling and cellular processes,Transporters ,ascorbate PTS system EIIC component
K21888,Brite hierarchies,Signaling and cellular processes,Transporters ,glutathione dehydrogenase/transferase [EC:1.8.5.1 2.5.1.18]
K02810,Brite hierarchies,Signaling and cellular processes,Transporters ,sucrose PTS system EIIBCA or EIIBC component [EC:2.7.1.211]
K00695,Brite hierarchies,Metabolism,Glycosyltransferases ,sucrose synthase [EC:2.4.1.13]
K00692,Brite hierarchies,Metabolism,Glycosyltransferases ,levansucrase [EC:2.4.1.10]
K01513,Brite hierarchies,Signaling and cellular processes,Glycosylphosphatidylinositol (GPI)-anchored proteins ,ectonucleotide pyrophosphatase/phosphodiesterase family member 1/3 [EC:3.1.4.1 3.6.1.9]
K00706,Brite hierarchies,Metabolism,Glycosyltransferases ,"1,3-beta-glucan synthase [EC:2.4.1.34]"
K01199,Brite hierarchies,Signaling and cellular processes,Glycosylphosphatidylinositol (GPI)-anchored proteins ,"glucan endo-1,3-beta-D-glucosidase [EC:3.2.1.39]"
K19891,Brite hierarchies,Signaling and cellular processes,Glycosylphosphatidylinositol (GPI)-anchored proteins ,"glucan endo-1,3-beta-glucosidase 1/2/3 [EC:3.2.1.39]"
K19892,Brite hierarchies,Signaling and cellular processes,Glycosylphosphatidylinositol (GPI)-anchored proteins ,"glucan endo-1,3-beta-glucosidase 4 [EC:3.2.1.39]"
K19893,Brite hierarchies,Signaling and cellular processes,Glycosylphosphatidylinositol (GPI)-anchored proteins ,"glucan endo-1,3-beta-glucosidase 5/6 [EC:3.2.1.39]"
K00694,Brite hierarchies,Metabolism,Glycosyltransferases ,cellulose synthase (UDP-forming) [EC:2.4.1.12]
K02759,Brite hierarchies,Signaling and cellular processes,Transporters ,cellobiose PTS system EIIA component [EC:2.7.1.196 2.7.1.205]
K02760,Brite hierarchies,Signaling and cellular processes,Transporters ,cellobiose PTS system EIIB component [EC:2.7.1.196 2.7.1.205]
K02761,Brite hierarchies,Signaling and cellular processes,Transporters ,cellobiose PTS system EIIC component
K00703,Brite hierarchies,Metabolism,Glycosyltransferases ,starch synthase [EC:2.4.1.21]
K13679,Brite hierarchies,Metabolism,Glycosyltransferases ,granule-bound starch synthase [EC:2.4.1.242]
K00693,Brite hierarchies,Metabolism,Glycosyltransferases ,glycogen synthase [EC:2.4.1.11]
K00750,Brite hierarchies,Metabolism,Glycosyltransferases ,glycogenin [EC:2.4.1.186]
K16150,Brite hierarchies,Metabolism,Glycosyltransferases ,glycogen synthase [EC:2.4.1.11]
K16153,Brite hierarchies,Metabolism,Glycosyltransferases ,glycogen phosphorylase/synthase [EC:2.4.1.1 2.4.1.11]
K00700,Brite hierarchies,Signaling and cellular processes,Exosome ,"1,4-alpha-glucan branching enzyme [EC:2.4.1.18]"
K16148,Brite hierarchies,Metabolism,Glycosyltransferases ,alpha-maltose-1-phosphate synthase [EC:2.4.1.342]
K20108,Brite hierarchies,Signaling and cellular processes,Transporters ,maltose PTS system EIICB or EIICBA component [EC:2.7.1.208]
K02750,Brite hierarchies,Signaling and cellular processes,Transporters ,alpha-glucoside PTS system EIICB component [EC:2.7.1.208 2.7.1.-]
K00697,Brite hierarchies,Metabolism,Glycosyltransferases ,trehalose 6-phosphate synthase [EC:2.4.1.15 2.4.1.347]
K16055,Brite hierarchies,Metabolism,Glycosyltransferases ,trehalose 6-phosphate synthase/phosphatase [EC:2.4.1.15 3.1.3.12]
K01194,Brite hierarchies,Signaling and cellular processes,Glycosylphosphatidylinositol (GPI)-anchored proteins ,"alpha,alpha-trehalase [EC:3.2.1.28]"
K02819,Brite hierarchies,Signaling and cellular processes,Transporters ,trehalose PTS system EIIBC or EIIBCA component [EC:2.7.1.201]
K12373,Brite hierarchies,Genetic information processing,Chaperones and folding catalysts ,hexosaminidase [EC:3.2.1.52]
K11192,Brite hierarchies,Signaling and cellular processes,Transporters ,N-acetylmuramic acid PTS system EIICB component [EC:2.7.1.192]
K02804,Brite hierarchies,Signaling and cellular processes,Transporters ,N-acetylglucosamine PTS system EIICBA or EIICB component [EC:2.7.1.193]
K01097,Brite hierarchies,Metabolism,Protein phosphatases and associated proteins ,N-acylneuraminate-9-phosphatase [EC:3.1.3.29]
K00698,Brite hierarchies,Metabolism,Glycosyltransferases ,chitin synthase [EC:2.4.1.16]
K13017,Brite hierarchies,Metabolism,Amino acid related enzymes ,UDP-2-acetamido-2-deoxy-ribo-hexuluronate aminotransferase [EC:2.6.1.98]
K00790,Brite hierarchies,Metabolism,Peptidoglycan biosynthesis and degradation proteins ,UDP-N-acetylglucosamine 1-carboxyvinyltransferase [EC:2.5.1.7]
K00075,Brite hierarchies,Metabolism,Peptidoglycan biosynthesis and degradation proteins ,UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]
K02765,Brite hierarchies,Signaling and cellular processes,Transporters ,D-glucosamine PTS system EIICBA component [EC:2.7.1.-]
K00820,Brite hierarchies,Metabolism,Peptidases and inhibitors ,glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16]
K13379,Brite hierarchies,Metabolism,Glycosyltransferases ,reversibly glycosylated polypeptide / UDP-arabinopyranose mutase [EC:2.4.1.- 5.4.99.30]
K00770,Brite hierarchies,Metabolism,Glycosyltransferases ,"1,4-beta-D-xylan synthase [EC:2.4.2.24]"
K07806,Brite hierarchies,Metabolism,Amino acid related enzymes ,UDP-4-amino-4-deoxy-L-arabinose-oxoglutarate aminotransferase [EC:2.6.1.87]
K13648,Brite hierarchies,Metabolism,Glycosyltransferases ,"alpha-1,4-galacturonosyltransferase [EC:2.4.1.43]"
K13010,Brite hierarchies,Metabolism,Amino acid related enzymes ,perosamine synthetase [EC:2.6.1.102]
K05523,Brite hierarchies,Metabolism,Peptidases and inhibitors ,D-lactate dehydratase / protein deglycase [EC:4.2.1.130 3.5.1.124]
K18881,Brite hierarchies,Metabolism,Peptidases and inhibitors ,D-lactate dehydratase [EC:4.2.1.130]
K01571,Brite hierarchies,Signaling and cellular processes,Transporters ,oxaloacetate decarboxylase (Na+ extruding) subunit alpha [EC:7.2.4.2]
K20509,Brite hierarchies,Signaling and cellular processes,Transporters ,carboxybiotin decarboxylase [EC:7.2.4.1]
K01573,Brite hierarchies,Signaling and cellular processes,Transporters ,oxaloacetate decarboxylase (Na+ extruding) subunit gamma
K00626,Brite hierarchies,Signaling and cellular processes,Exosome ,acetyl-CoA C-acetyltransferase [EC:2.3.1.9]
K19269,Brite hierarchies,Metabolism,Protein phosphatases and associated proteins ,phosphoglycolate phosphatase [EC:3.1.3.18 3.1.3.48]
K00830,Brite hierarchies,Metabolism,Amino acid related enzymes ,alanine-glyoxylate transaminase / serine-glyoxylate transaminase / serine-pyruvate transaminase [EC:2.6.1.44 2.6.1.45 2.6.1.51]
K14272,Brite hierarchies,Metabolism,Amino acid related enzymes ,glutamate--glyoxylate aminotransferase [EC:2.6.1.4 2.6.1.2 2.6.1.44]
K00284,Brite hierarchies,Metabolism,Peptidases and inhibitors ,glutamate synthase (ferredoxin) [EC:1.4.7.1]
K01915,Brite hierarchies,Signaling and cellular processes,Exosome ,glutamine synthetase [EC:6.3.1.2]
K01908,Brite hierarchies,Metabolism,Lipid biosynthesis proteins ,propionyl-CoA synthetase [EC:6.2.1.17]
K00823,Brite hierarchies,Metabolism,Amino acid related enzymes ,4-aminobutyrate aminotransferase [EC:2.6.1.19]
K07250,Brite hierarchies,Metabolism,Amino acid related enzymes ,4-aminobutyrate aminotransferase / (S)-3-amino-2-methylpropionate transaminase / 5-aminovalerate transaminase [EC:2.6.1.19 2.6.1.22 2.6.1.48]
K13524,Brite hierarchies,Metabolism,Amino acid related enzymes ,4-aminobutyrate aminotransferase / (S)-3-amino-2-methylpropionate transaminase [EC:2.6.1.19 2.6.1.22]
K00822,Brite hierarchies,Metabolism,Amino acid related enzymes ,beta-alanine--pyruvate transaminase [EC:2.6.1.18]
K00209,Brite hierarchies,Metabolism,Lipid biosynthesis proteins ,enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+) [EC:1.3.1.9 1.3.1.44]
K23756,Brite hierarchies,Metabolism,Lipid biosynthesis proteins ,medium-chain acyl-CoA ligase / lipoate-activating enzyme [EC:6.2.1.2]
K01896,Brite hierarchies,Metabolism,Lipid biosynthesis proteins ,medium-chain acyl-CoA synthetase [EC:6.2.1.2]
K01615,Brite hierarchies,Signaling and cellular processes,Transporters ,glutaconyl-CoA decarboxylase subunit alpha [EC:7.2.4.5]
K23351,Brite hierarchies,Signaling and cellular processes,Transporters ,glutaconyl-CoA/methylmalonyl-CoA decarboxylase subunit gamma
K23352,Brite hierarchies,Signaling and cellular processes,Transporters ,glutaconyl-CoA/methylmalonyl-CoA decarboxylase subunit delta
K14268,Brite hierarchies,Metabolism,Amino acid related enzymes ,5-aminovalerate/4-aminobutyrate aminotransferase [EC:2.6.1.48 2.6.1.19]
K01907,Brite hierarchies,Metabolism,Lipid biosynthesis proteins ,acetoacetyl-CoA synthetase [EC:6.2.1.16]
K22005,Brite hierarchies,Metabolism,Cytochrome P450 ,itaconate hydroxylase
K00914,Brite hierarchies,Genetic information processing,Membrane trafficking ,phosphatidylinositol 3-kinase [EC:2.7.1.137]
K01108,Brite hierarchies,Metabolism,Protein phosphatases and associated proteins ,myotubularin [EC:3.1.3.64 3.1.3.95]
K18081,Brite hierarchies,Metabolism,Protein phosphatases and associated proteins ,myotubularin-related protein 1/2 [EC:3.1.3.64 3.1.3.95]
K18082,Brite hierarchies,Metabolism,Protein phosphatases and associated proteins ,myotubularin-related protein 3/4 [EC:3.1.3.48 3.1.3.64 3.1.3.95]
K18083,Brite hierarchies,Metabolism,Protein phosphatases and associated proteins ,myotubularin-related protein 6/7/8 [EC:3.1.3.64 3.1.3.95]
K18086,Brite hierarchies,Metabolism,Protein phosphatases and associated proteins ,myotubularin-related protein 14 [EC:3.1.3.64 3.1.3.95]
K00888,Brite hierarchies,Genetic information processing,Membrane trafficking ,phosphatidylinositol 4-kinase A [EC:2.7.1.67]
K13711,Brite hierarchies,Genetic information processing,Membrane trafficking ,phosphatidylinositol 4-kinase type 2 [EC:2.7.1.67]
K00889,Brite hierarchies,Genetic information processing,Membrane trafficking ,1-phosphatidylinositol-4-phosphate 5-kinase [EC:2.7.1.68]
K01099,Brite hierarchies,Genetic information processing,Membrane trafficking ,inositol polyphosphate 5-phosphatase INPP5B/F [EC:3.1.3.36]
K20279,Brite hierarchies,Genetic information processing,Membrane trafficking ,synaptojanin [EC:3.1.3.36]
K00922,Brite hierarchies,Genetic information processing,Membrane trafficking ,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha/beta/delta [EC:2.7.1.153]"
K21289,Brite hierarchies,Genetic information processing,Membrane trafficking ,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma [EC:2.7.1.153]"
K01110,Brite hierarchies,Metabolism,Protein phosphatases and associated proteins ,"phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN [EC:3.1.3.16 3.1.3.48 3.1.3.67]"
K03084,Brite hierarchies,Genetic information processing,Membrane trafficking ,"phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase 1 [EC:3.1.3.86]"
K15909,Brite hierarchies,Genetic information processing,Membrane trafficking ,"phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase 2 [EC:3.1.3.86]"
K00921,Brite hierarchies,Genetic information processing,Membrane trafficking ,1-phosphatidylinositol-3-phosphate 5-kinase [EC:2.7.1.150]
K05858,Brite hierarchies,Genetic information processing,Membrane trafficking ,"phosphatidylinositol phospholipase C, beta [EC:3.1.4.11]"
